,新闻动态,教学资源,项目与合作,竞赛,优秀作品
843.0,0,1,0,0,0
844.0,1,0,0,0,0
131917.0,0,0,0,14,0
847.0,0,1,0,0,0
854.0,0,0,0,1,0
856.0,0,0,1,0,0
857.0,0,1,0,0,0
858.0,0,1,0,0,0
859.0,0,1,0,0,0
860.5,0,0,1,0,0
866.5,1,4,0,1,1
131944.5,0,0,0,6,0
872.5,0,1,0,1,0
131951.5,4,0,0,12,4
879.5,1,8,0,1,0
886.0,0,1,0,0,0
887.0,0,1,0,0,0
888.0,1,0,0,0,0
889.0,0,1,0,0,0
891.0,1,0,0,0,0
892.0,0,1,0,0,0
894.0,0,1,0,0,0
896.0,0,1,0,0,0
897.0,0,0,0,1,0
899.0,0,0,1,0,0
900.0,0,1,0,0,0
901.0,0,1,0,0,0
902.0,1,0,0,0,0
903.0,1,0,0,0,0
904.0,1,0,0,0,0
905.0,0,1,0,0,0
131996.0,0,0,0,14,0
928.0,0,1,0,0,0
930.0,0,1,0,0,0
132003.0,0,0,0,10,0
933.0,0,1,0,0,0
934.0,1,0,0,0,0
936.0,0,3,0,0,0
132009.0,8,0,0,6,0
938.0,0,1,0,0,0
940.0,0,1,0,0,0
943.0,0,1,0,0,0
944.0,0,1,0,0,0
947.0,0,1,0,0,0
951.0,0,1,0,0,0
952.0,0,1,0,0,0
132034.0,0,0,0,4,0
973.0,0,1,0,0,0
974.0,0,1,0,0,0
975.0,0,1,0,0,0
976.5,0,2,0,0,0
132058.5,0,0,0,12,0
132065.0,0,0,0,12,0
1007.5,1,9,2,1,0
99314.0,0,1,0,0,0
99317.0,0,0,1,0,0
99318.0,0,0,0,1,0
99321.0,0,1,0,0,0
1023.5,0,9,2,3,0
99327.0,0,1,0,0,0
99329.0,0,3,0,0,0
99331.0,0,1,0,0,0
99332.0,0,0,1,0,0
99333.0,0,1,0,0,0
99337.0,0,1,0,0,0
132106.5,0,0,0,4,0
132109.0,0,0,0,3,0
99341.0,1,0,0,0,0
1037.5,0,2,6,4,0
132116.0,0,0,0,9,0
99350.0,0,1,0,0,0
99352.0,0,1,0,0,0
132122.0,0,1,0,0,0
1052.5,2,10,4,2,0
132125.0,0,0,0,5,0
99356.0,1,0,0,0,0
132134.0,0,0,0,7,0
1068.0,0,3,3,3,0
99373.0,0,1,0,0,0
99374.5,4,0,0,0,0
132143.0,2,0,0,6,0
99376.5,0,0,0,2,0
132146.0,0,0,0,1,0
99379.0,0,0,0,1,0
1080.0,2,3,1,3,0
99392.0,0,0,0,1,0
99393.0,0,1,0,0,0
99396.0,0,1,0,0,0
99397.5,0,2,0,0,0
132165.5,2,0,0,4,0
1093.0,0,10,2,3,0
99399.0,0,1,0,0,0
132169.5,0,0,0,2,0
99403.5,0,1,0,1,0
132173.0,0,0,0,6,0
132176.0,1,0,0,0,0
132178.0,0,0,0,6,0
1106.5,0,4,2,5,0
99413.0,0,8,0,2,0
132182.5,0,0,0,10,0
99421.0,0,4,0,0,0
1122.0,0,11,3,4,0
99428.5,0,10,0,0,0
99434.5,0,2,0,0,0
132204.0,0,0,0,1,0
99441.0,2,8,0,4,0
1141.0,1,11,0,4,0
99454.5,0,2,0,1,0
1156.5,1,7,1,3,0
99460.0,0,0,0,1,0
99462.0,0,1,0,0,0
99464.0,0,1,0,0,0
132234.0,0,0,0,8,0
99472.0,0,1,0,0,0
132240.0,8,0,0,0,0
99473.5,0,2,0,0,0
132245.0,0,0,0,6,0
99478.5,0,0,0,2,0
132249.5,0,0,0,8,0
99482.0,0,1,0,0,0
99483.0,0,1,0,0,0
99484.0,0,1,0,0,0
99491.0,0,0,0,1,0
99492.0,0,1,0,0,0
1190.0,2,4,0,2,0
99499.0,0,0,1,0,0
132269.0,6,0,0,7,0
99501.0,0,1,0,0,0
99506.0,0,1,0,0,0
99507.0,0,1,0,0,0
132276.0,0,0,0,7,0
99508.0,0,1,0,0,0
99509.0,0,1,0,0,0
132281.0,0,0,0,5,0
99516.0,4,0,0,8,0
1219.5,1,3,0,0,0
99524.0,0,1,0,0,0
132297.0,0,0,0,6,0
132301.0,0,0,0,4,0
1231.5,3,7,1,4,0
132306.0,0,0,0,12,0
1242.0,0,1,0,0,0
1243.0,0,0,0,1,0
1246.0,0,0,0,1,0
132331.0,0,0,0,6,0
132334.0,1,0,0,0,0
1275.0,0,0,0,4,0
132349.0,0,0,0,1,0
132353.0,0,0,0,10,0
132358.0,0,0,0,1,0
132360.5,0,0,0,6,0
132378.5,0,0,0,12,0
1330.0,0,0,0,6,0
132403.5,0,0,0,8,0
1333.0,0,0,0,6,0
132408.0,0,0,0,6,0
132411.0,0,0,0,6,0
132437.5,4,0,0,4,0
132441.5,0,0,0,8,0
132444.5,0,0,0,4,0
132462.5,0,0,0,2,0
132468.0,0,0,0,1,0
99722.0,0,0,0,1,0
1422.0,0,0,0,14,0
132508.5,0,0,0,14,0
1443.0,0,0,0,7,0
99751.0,0,1,0,0,0
99760.0,0,0,1,0,0
99761.0,1,0,0,0,0
99762.0,0,0,1,0,0
99763.0,0,1,0,0,0
99765.0,0,1,0,0,0
99771.5,0,4,0,0,0
99774.0,0,1,0,0,0
1471.0,0,0,0,6,0
99776.0,0,1,0,0,0
99779.0,0,1,0,0,0
99781.0,0,1,0,0,0
99782.0,0,1,0,0,0
132553.0,0,0,0,8,0
99785.0,0,1,0,0,0
99787.0,0,1,0,0,0
99788.5,0,2,0,0,0
132561.0,4,0,0,10,0
99793.5,0,5,0,0,0
132567.5,0,0,0,8,0
99799.0,0,1,0,0,0
99800.0,0,1,0,0,0
132572.5,0,0,0,10,0
99805.0,0,1,0,0,0
99804.0,0,1,0,0,0
99807.0,1,0,0,0,0
99806.0,1,0,0,0,0
132577.0,0,0,0,6,0
99811.0,0,1,0,0,0
132580.0,0,0,0,6,0
99813.0,0,1,0,0,0
99812.0,1,0,0,0,0
132583.0,0,0,0,4,0
99816.0,0,1,0,0,0
99817.0,1,0,0,0,0
99818.0,1,0,0,0,0
99830.0,0,1,0,0,0
99831.0,0,1,0,0,0
99832.0,0,1,0,0,0
99834.5,0,1,0,0,0
1532.0,0,0,0,8,0
132606.0,0,0,0,14,0
1537.0,0,0,0,7,0
132613.5,4,0,0,8,0
1542.0,0,0,0,10,0
99849.5,0,2,0,0,0
132619.5,0,0,0,6,0
1548.5,0,0,0,12,0
99855.0,14,0,0,0,0
132625.5,0,0,0,12,0
1557.5,3,0,0,7,0
99861.0,0,1,0,0,0
132633.0,0,0,0,6,0
132643.0,0,0,0,6,0
1575.5,0,0,0,8,0
1578.0,0,0,0,2,0
132652.0,0,1,0,0,0
132653.5,4,0,0,0,0
99886.5,0,2,0,0,0
1583.0,4,0,0,14,0
1588.5,0,0,0,4,0
99893.0,0,1,0,0,0
99896.0,0,1,0,0,0
99897.0,1,0,0,0,0
1594.5,0,0,0,19,0
132666.5,2,0,0,4,0
99903.0,0,0,0,1,0
132672.5,0,0,0,15,0
99907.0,0,1,0,0,0
99909.0,0,1,0,0,0
99912.5,6,0,0,0,0
132680.0,0,0,0,6,0
99919.5,0,0,0,1,0
132688.0,0,0,0,14,0
99921.0,0,0,0,1,0
99922.0,0,1,0,0,0
1620.5,4,0,0,12,0
132694.5,0,0,0,8,0
99927.0,0,1,0,0,0
99929.0,1,0,0,0,0
132699.5,0,0,0,6,0
99931.0,0,1,0,0,0
99933.0,0,1,0,0,0
132703.5,0,0,0,4,0
99937.0,0,1,0,0,0
99938.0,0,0,1,0,0
99939.0,0,1,0,0,0
99940.0,0,1,0,0,0
99942.0,0,1,0,0,0
99943.0,0,1,0,0,0
99946.0,0,1,0,0,0
99953.0,0,1,0,0,0
99955.0,0,1,0,0,0
99956.5,0,2,0,0,0
99958.0,0,1,0,0,0
99960.0,6,0,0,0,0
99962.0,0,1,0,0,0
99966.5,0,3,0,1,0
1665.0,0,0,0,16,0
132740.0,2,0,0,11,0
99973.0,0,0,0,1,0
99975.0,0,1,0,0,0
99976.5,1,0,0,0,0
1674.5,0,0,0,20,0
99979.0,0,1,0,0,0
132750.5,8,0,0,4,0
99983.0,1,3,1,0,1
1680.0,0,0,0,1,0
1683.0,0,0,0,10,0
99991.0,1,3,2,1,0
1690.5,0,0,0,20,0
99999.0,1,3,1,1,0
1699.0,4,0,0,8,0
100005.0,3,0,0,1,0
132776.5,0,0,0,4,0
132778.0,0,0,0,1,0
100011.5,1,1,1,5,0
132782.0,0,0,0,13,0
1714.5,0,0,0,4,0
100018.0,1,1,1,0,0
1720.0,2,0,0,12,0
100024.5,0,3,2,1,0
1727.5,0,0,0,6,0
100032.5,1,1,1,2,0
100038.5,0,0,1,0,0
100042.5,0,3,0,0,0
1744.0,2,0,0,3,0
100049.0,1,4,1,0,0
132820.0,0,0,0,6,0
100057.5,2,3,1,1,0
100063.5,1,2,0,0,0
100067.5,1,1,0,1,0
132839.0,0,0,0,14,0
100073.0,1,2,1,0,0
100078.0,1,1,0,0,0
100081.5,1,2,1,0,0
100086.5,1,2,1,0,0
132858.5,0,0,0,16,0
100092.5,1,3,0,0,0
132864.5,0,0,0,8,0
100100.0,1,3,1,3,0
100106.5,0,1,0,2,0
1804.5,0,0,0,10,0
100110.5,1,1,1,1,0
1808.5,0,0,0,4,0
100116.0,1,4,0,1,0
132886.5,0,0,0,12,0
100122.5,2,2,0,0,0
1819.5,1,0,0,15,4
132890.0,0,0,0,1,0
100126.0,0,1,0,0,0
100130.5,2,3,2,1,0
1831.0,0,0,0,4,0
100135.0,0,0,1,0,0
100138.0,1,1,2,1,0
100143.0,1,2,1,1,0
100150.0,1,3,1,4,0
100156.0,0,1,0,1,0
100159.5,3,1,0,0,0
100162.0,0,1,0,0,0
100164.5,1,2,0,1,0
100168.5,1,1,0,1,0
1868.0,0,0,0,18,0
132940.5,0,0,0,10,6
100173.0,0,1,0,3,0
1873.5,0,0,0,4,0
132947.0,0,0,0,10,0
100179.0,1,2,1,2,0
100185.0,1,1,0,1,0
100190.0,1,0,2,1,0
100193.5,0,1,1,0,0
1890.5,0,0,0,6,0
100199.5,2,4,1,1,0
1897.0,0,0,0,17,0
100207.5,1,3,0,1,0
1903.5,0,0,0,6,0
100213.0,1,3,0,1,0
100217.5,0,0,2,1,0
100222.0,1,2,0,1,1
100226.5,1,1,1,1,0
100231.5,1,4,0,0,1
100236.5,1,2,1,0,0
100242.5,1,2,1,1,0
100250.0,1,5,0,0,0
100256.5,1,2,1,1,0
100265.0,2,4,1,1,2
100273.5,0,4,0,0,1
100280.0,1,3,1,0,0
100286.0,1,2,0,0,1
100289.5,0,2,0,0,0
100292.5,0,3,1,0,0
100297.0,1,0,1,0,0
100302.0,1,1,0,2,0
100307.0,1,1,1,1,0
133076.0,0,0,0,6,0
100312.0,2,1,0,2,0
133081.0,0,0,0,6,0
100317.0,1,2,0,1,0
133088.0,0,0,0,10,0
100323.5,1,1,1,1,1
133094.5,0,0,0,11,0
100331.0,0,4,1,0,0
100339.0,3,1,0,3,0
100346.0,1,2,1,0,0
100349.5,1,0,0,0,0
100353.0,4,0,0,0,0
100356.5,0,0,0,2,0
100359.0,0,1,1,0,1
133131.5,2,0,0,10,0
100364.0,0,4,1,1,0
100371.0,0,2,1,1,0
100376.5,0,0,1,1,0
100381.0,2,2,1,0,0
133150.5,0,0,0,16,0
100385.0,1,1,0,1,0
100389.5,0,1,1,2,0
100395.0,1,2,0,1,0
100400.5,1,3,0,1,0
133171.0,0,0,0,10,0
100406.5,0,4,0,1,0
133180.0,0,5,0,0,0
100414.0,1,4,1,3,0
133184.0,0,0,0,10,0
100423.0,2,2,1,2,1
2122.5,0,0,0,20,0
100433.5,1,7,0,1,0
100443.5,0,3,0,2,0
100449.5,3,1,0,0,0
100452.0,1,0,0,0,0
100456.0,2,3,0,1,0
100462.0,1,3,0,0,0
100467.0,3,0,0,1,0
100472.5,1,3,0,0,0
2173.0,0,0,0,6,0
100479.5,1,6,0,0,0
2176.5,0,0,0,8,0
100488.5,2,4,0,1,0
2186.0,0,0,0,13,0
100497.0,0,4,2,1,0
2196.0,2,0,0,8,0
100504.5,1,3,1,1,0
2201.0,0,0,0,10,0
2204.5,0,0,0,4,0
100510.5,0,2,1,0,0
2208.5,0,0,0,6,0
100515.5,0,3,2,0,0
133285.0,0,6,0,0,0
2214.0,0,0,0,10,0
133288.0,0,6,0,0,0
100523.5,1,3,4,0,0
2221.5,8,0,0,12,0
100531.0,0,1,2,0,1
2228.0,0,0,0,6,0
2233.0,0,0,0,14,0
100537.0,2,2,0,1,0
2237.5,0,0,0,4,0
100541.5,0,1,0,1,0
100547.5,1,2,2,3,2
100554.0,1,0,0,1,1
100560.5,3,1,1,3,0
133331.0,3,0,0,0,0
133334.0,0,6,0,0,0
100567.5,0,3,0,1,0
133337.0,0,6,0,0,0
100573.0,2,2,1,0,0
133342.0,0,6,0,0,0
100577.0,1,0,0,0,0
133348.5,2,4,4,0,0
100580.0,0,2,1,1,1
2279.5,0,0,0,4,0
2281.5,0,0,0,4,0
100586.5,2,4,0,1,0
133357.0,0,0,0,11,0
100592.5,1,0,1,1,0
100597.5,2,2,1,1,0
133369.0,4,2,3,2,0
100605.5,1,2,1,3,0
2303.5,0,0,0,7,0
2307.5,0,0,0,7,0
100614.5,1,2,2,3,0
133382.0,4,2,3,2,0
2313.5,0,0,0,16,0
100621.0,1,1,0,2,0
2318.5,0,0,0,4,0
2320.5,0,0,0,4,0
2323.0,0,0,0,6,0
133395.0,0,1,2,0,0
100627.5,2,4,0,1,0
2327.0,0,0,0,10,0
100633.5,2,2,0,0,0
2330.5,0,0,0,4,0
100638.0,2,2,0,0,1
100643.5,0,2,2,0,1
100648.5,0,1,1,0,0
100653.5,0,3,0,1,0
100659.5,1,2,1,0,0
2361.5,0,0,0,6,0
100665.0,2,1,0,1,0
100669.0,0,3,0,0,0
2368.5,8,6,0,2,0
100673.0,1,1,2,1,0
100678.0,0,2,1,0,1
2376.0,0,0,0,14,0
100683.0,2,2,0,0,0
100687.0,0,0,0,1,1
100692.5,0,3,1,3,0
100700.0,3,2,0,1,0
100704.5,0,1,0,1,0
100710.0,1,6,0,0,0
133481.0,0,0,0,8,0
100716.5,1,2,0,0,0
2415.0,2,0,0,8,0
2418.0,0,0,0,1,0
2420.0,0,0,0,6,0
100727.5,1,5,2,4,0
2424.5,0,0,0,11,0
2429.0,0,0,0,5,0
2432.5,0,0,0,8,0
100741.0,1,3,0,2,0
2441.5,3,0,0,11,0
100748.0,1,2,0,1,0
2449.0,0,0,0,1,0
100754.0,2,1,0,2,0
2452.5,0,0,0,12,0
100761.5,3,0,0,2,1
2459.5,0,0,0,12,0
100767.5,0,1,1,2,0
2465.0,0,0,0,6,0
2468.5,0,0,0,8,0
100774.5,2,4,1,2,0
2471.5,0,0,0,4,0
133544.5,6,0,0,0,0
2473.5,0,0,0,4,0
2476.0,4,0,0,2,0
100781.5,1,1,0,0,0
2478.5,0,0,0,4,0
2480.0,0,0,0,1,0
133553.0,0,0,0,14,0
100787.0,1,3,0,1,0
133558.0,0,0,0,6,0
2489.5,0,0,0,17,0
100796.0,4,1,2,2,0
100802.5,1,0,0,0,0
2500.0,4,0,0,2,0
133572.5,12,0,0,0,0
100806.0,0,2,1,2,0
100811.5,2,2,1,0,1
100816.0,2,1,0,0,0
2516.0,0,0,0,10,0
100820.0,2,1,1,0,1
100826.5,4,3,0,1,0
2523.0,0,0,0,18,0
100831.5,1,0,1,0,0
100834.5,0,3,0,1,0
100838.5,2,2,0,0,0
100842.0,2,0,0,0,0
100846.0,0,1,1,0,1
100849.5,0,1,0,1,0
100851.5,0,0,2,0,0
100854.0,2,0,0,1,0
100858.5,2,2,1,1,0
100863.0,0,1,0,1,1
100866.5,1,1,2,0,0
2570.5,0,0,0,12,0
100874.5,3,4,2,1,1
2576.0,0,0,0,4,0
100885.0,1,4,1,2,0
2583.0,0,0,0,9,0
100892.0,0,1,1,3,0
2591.5,0,0,0,15,0
100898.0,3,2,0,2,0
2600.0,0,0,0,9,0
100904.0,1,1,0,2,0
2606.5,0,0,0,7,0
100911.0,0,6,2,1,0
2611.5,4,0,0,8,0
100918.5,0,3,1,0,1
100925.5,2,2,1,1,0
100933.0,3,1,0,1,0
2634.0,0,0,0,7,0
2638.5,0,0,0,4,0
100944.0,3,6,1,2,0
100953.0,0,2,1,0,0
100962.0,4,2,2,2,0
2663.0,2,0,0,0,0
100972.5,0,4,0,1,0
100979.5,1,3,0,2,1
2682.5,4,0,0,8,0
100986.5,2,2,0,0,1
2686.5,0,0,0,4,0
2688.0,0,0,0,1,0
100994.5,1,6,0,0,0
2691.5,0,0,0,10,0
101004.0,4,3,1,1,0
101012.5,1,2,0,3,1
101022.5,1,2,2,1,1
101030.5,1,2,0,1,0
101036.0,2,2,2,0,0
101043.0,0,4,0,1,0
2744.5,2,0,0,14,0
101048.5,0,1,0,2,0
101058.0,1,0,0,0,0
101059.0,0,0,0,1,0
2756.5,0,0,0,10,0
101069.5,2,0,0,0,0
101074.0,0,1,0,0,0
101075.5,0,0,0,1,0
101079.0,0,0,0,1,0
101081.0,1,0,0,0,0
101082.0,0,0,0,1,0
101085.0,0,1,0,0,0
101086.0,0,1,0,0,0
101088.0,0,0,1,0,0
101089.0,0,1,0,0,0
101090.0,0,0,0,1,0
101098.0,0,1,0,0,0
101103.5,0,2,0,0,0
101105.0,0,1,0,0,0
101117.0,0,1,0,0,0
2816.0,0,0,0,1,0
2818.5,0,0,0,8,0
101122.0,0,0,0,6,0
101124.0,0,1,0,0,0
2821.0,0,0,0,1,0
101126.0,0,1,0,0,0
2822.0,0,0,0,1,0
101128.0,0,0,0,6,0
2825.0,0,0,0,10,0
101130.0,0,1,0,0,0
2829.0,0,0,0,6,0
2831.5,0,0,0,2,0
101135.5,0,0,0,1,0
101137.0,0,1,0,0,0
101138.0,0,1,0,0,0
2836.0,0,0,0,14,0
101143.0,0,1,0,0,0
2842.5,4,0,0,8,0
101146.0,0,1,0,0,0
2846.5,0,0,0,4,0
101151.0,2,0,0,8,0
2850.5,0,0,0,12,0
101156.0,0,1,0,0,0
101160.0,10,0,0,0,0
101166.0,0,1,0,0,0
101169.0,0,1,0,0,0
2870.0,0,0,0,6,0
2878.0,6,0,0,12,0
2900.5,0,0,0,8,0
2910.0,4,3,0,8,0
133990.0,0,0,0,2,0
2920.0,0,0,0,8,0
2923.0,0,0,0,1,0
133996.5,0,0,0,4,0
2927.5,0,0,0,16,0
101239.0,0,1,0,0,0
101240.0,0,1,0,0,0
134008.0,0,0,0,1,0
101243.0,0,1,0,0,0
101244.0,1,0,0,0,0
101245.0,0,1,0,0,0
101249.0,0,1,0,0,0
101251.0,0,1,0,0,0
134021.5,3,6,0,2,0
101253.0,0,0,1,0,0
101256.5,0,1,0,0,0
101258.0,0,0,0,1,0
101260.0,0,0,1,0,0
2957.5,0,0,0,8,0
101263.0,0,0,0,1,0
101264.0,0,0,0,1,0
134036.5,10,0,0,2,0
101270.0,0,1,0,0,0
101275.0,0,1,0,0,0
101276.0,0,0,1,0,0
101277.0,0,0,1,0,0
101278.0,0,1,0,0,0
101279.5,2,0,0,0,0
101282.5,0,2,0,0,0
2982.0,0,0,0,6,0
101286.0,0,0,0,1,0
2985.5,0,0,0,8,0
101289.0,0,1,0,0,0
101291.0,0,0,1,0,0
101292.0,0,1,0,0,0
101294.0,0,1,0,0,0
101296.0,0,1,0,0,0
101304.0,8,0,0,6,0
101309.0,1,0,0,0,0
101314.0,0,1,0,0,0
101316.0,0,0,0,1,0
134084.5,5,0,0,0,0
101318.0,0,0,1,0,0
101319.0,0,1,0,0,0
134090.5,2,0,0,2,0
101323.0,0,0,0,1,0
134093.5,0,2,0,0,0
101326.0,0,0,1,0,0
101329.0,0,2,0,1,0
101332.0,0,1,0,0,0
101334.0,0,1,0,0,0
101335.0,0,0,0,1,0
101337.0,0,1,0,0,0
134105.0,0,0,0,4,0
101338.0,1,0,0,0,0
101340.0,0,0,0,1,0
101342.0,0,1,0,0,0
3041.5,0,0,0,6,0
101346.0,0,0,0,1,0
101347.0,0,0,0,1,0
134113.5,0,0,0,4,0
3045.0,0,0,0,1,0
101350.0,0,0,0,1,0
101352.0,0,1,0,0,0
101354.0,0,1,0,0,0
101355.0,0,0,1,0,0
101356.5,0,0,0,2,0
101360.0,0,0,0,1,0
101362.0,0,1,0,0,0
101363.0,0,1,0,0,0
101370.0,0,1,0,0,0
134141.0,10,0,0,0,0
101373.0,0,1,0,0,0
101379.0,0,0,0,6,0
101381.0,0,1,0,0,0
101382.0,0,1,0,0,0
101385.5,0,1,0,0,0
101387.5,0,2,0,0,0
101390.0,1,0,0,0,0
101392.0,0,3,0,0,0
134163.5,0,0,0,1,0
101396.0,0,0,0,1,0
101395.0,0,0,0,1,0
101397.0,0,0,1,0,0
101403.0,0,1,0,0,0
134173.0,0,0,0,10,0
101405.0,0,1,0,0,0
101407.0,0,1,0,0,0
134179.0,0,6,0,0,0
134184.5,0,0,0,16,0
101416.0,0,0,1,0,0
101417.0,0,0,1,0,0
134191.0,0,0,0,10,0
101424.0,3,1,2,2,0
101430.0,0,1,0,0,0
101432.0,1,0,1,0,0
101434.0,0,1,0,0,0
3131.0,0,0,0,6,0
101436.0,0,1,0,0,0
101435.0,0,1,0,0,0
3133.0,0,1,0,0,0
101437.0,1,0,0,0,0
3136.0,0,1,0,0,0
101441.0,0,1,0,0,0
101440.0,1,0,0,0,0
101442.0,0,1,0,0,0
